User ID,Username,Colour Roles,Message Count
1296579661387792476,flea135791,"Green, Yellow, Blue, Orange, Red, Plurple, White, Bronzer",18617
1321737599202889782,sphere_degree151,None,3380
691591389569482775,flycatch3r,None,4582
1207717183199649934,zlx0.,None,3656
965066070014709800,lzabrickl,None,26643
1191135236910747760,farew2,None,116
1006667240252391494,joelx.off,None,303
1164230762149724180,mynameisbrickwall.,Blue,9270
1255901175132327971,pausian5,None,21618
795007155102810113,ctzaire,None,12944
969484336418127872,1st_taliban,None,5430
692150376337637378,orange_ix,Orange,6942
456226577798135808,Deleted User#0000,None,103180
771324459251793950,misielo,None,3095
542100848009019412,iamchilling,None,2413
793303228233940992,tuxqux,None,7528
1127326914810499164,retrogamer1175,None,379
1191030269558411264,tnt_877_51861,None,194
1222030092578984010,random_cucumbers,None,2
676253408142819338,burgbug,None,5319
790214740197769226,john_ample,None,11231
1307923691887136819,procrastination____57327,None,2080
764794160619192361,greatfinland,None,1160
822175598855979049,.xudia,None,19451
731097608411545651,monder_678,Yellow,44493
989163801733656587,cosmosive,None,63370
639577733550047281,floortileeater,Black,32350
663872373161984000,jvf8,None,29619
714286636262752317,dan0101_,None,284
1120472747999494164,theendermans,None,2639
710934261556969487,abf109,None,11333
681049691407777804,robot_geant,None,964
1126255880330023145,lalyyestranha,None,8
707522266812121133,jashon33,None,13677
1284486897997185045,comm0n_1,None,21057
888433986358087711,majeeddagoat,None,8532
766108830870142987,revnaut,None,2644
1079562789091287070,governador5538,None,6413
584650971985215488,localidiot1171,None,299
511937176582225922,buk.buk,None,8822
903491156741066804,darkdwarve,None,2963
1111060313425580062,pizza_572,None,7973
1256482677478133763,sum_ting_wong9,None,7007
770824804676010004,kayk_4,None,4076
1070556786681184396,diosdelflow,None,323
752220457692037200,elpepe8949,None,342
1129870202029473942,infernal.51,Blue,2448
348909584431185920,kb6242,None,732
1090496344340307980,similachu,None,800
529260352777617420,taintedwaste,None,661
1019365466172571708,hrgy000,None,580
655981446258884609,nyxcette,None,8
688315875765649430,thunder_695,None,6773
1198976954523713608,cqarrot,None,54
1225911811447062541,yordi_descuido,None,2009
1148637833112866937,jaguar2003,None,2823
1065587798104617011,faris_451,None,5801
1312240679509819414,nico_9511,None,364
1279919448039358466,xoberherr,None,356
1185438576918409237,allegro_ed_simplice,None,1451
737749295695921284,kalcios,None,50
1275169382271811594,sgt.dope,None,38
1202382460118388746,swisscheesse,None,13002
1219999190525149185,emperorsaumya13_30532,None,36
1062517854806749226,risen.i,Blue,12291
196454727356121088,_cyk,None,3419
820523188101447700,vlcmediaplayer.,None,90
1176169127061237760,topardex_gam,None,5867
1191567377880592456,iintelcore,None,100
994471429737295903,djkolyo,None,2
1000093853006712933,lemisak,None,2027
1196837314064822333,kudydjidu,None,16670
1016353921037508719,74wf,Blue,21352
505853089350156288,fiendisq,Homo,7584
896347868615548939,catalin0414,None,7829
695984681878814800,raviiiajieee,None,16
456605783619141633,kemelo996,None,1389
756268481464369233,ninjattcgu11u.r.s.s,None,1302
932451992998121483,shoopdawoop12314,None,13082
738517733322391635,1joey1.,None,2813
697603084565872730,slurzl,None,70
1227115058455248977,halinawaltz.,None,8
1275797174709518417,cocacolalover11,None,1255
824363018024386562,dumbosfacade,None,525
556736172450250763,brr0dy,None,12390
1324465335692296294,janinx_x,None,2
790975721467150336,yoink7360,None,24
985653127409713152,somerandompole,None,47
511877452218236928,abraham2,None,7907
1126609679955537921,electro_27,None,21075
832870995584090113,karmakun2ms,None,7354
914781210209845270,michael_0ceanic,None,15928
377205300564066304,etherian404,None,2974
808813113041747988,vicen_te0.1,None,416
690491306870308885,thermos6978,None,12
813691475295862815,mikvandon100,None,1102
1163300834717745344,vecna_newacc,None,72
1007289848920555722,led_monke,None,3729
682761286395756576,franko1095,None,2306
748288047602204845,jesus_raccoon,None,1303
1081778851560050728,trackking1,None,383
949418992051814442,sakamii_.,None,362
721428892681895976,lokibeeper,None,3288
987828322794897488,xxzvezda,None,51
919315422396956731,caillouxcailloux,None,39
812552762213531658,ultramarinum,None,24
388493173409710082,milkytheraccoon,None,164
453207521373585408,pidgey7655,None,34
1165645066388389901,soliplism.,Yellow,9826
1188923498870087713,da1dograider,None,15
974266860461776926,ahf1111,None,735
1077134162298949662,trw_hunter,None,32
1243174112411517001,fairlydisturbedonion,None,22
903936815717818389,bomboabob,None,9654
1083179855836872818,nose987651234,None,54
1086450530777313351,jav_252,None,182
1045735618052902983,_.kyanite,None,47
703803634034409545,martu_755,None,592
819588080225878046,noarrrs,None,2681
1211788873458257923,applesaregood9.99,None,2090
1302169113484853308,bruhsealand_3iloveflip_09154,None,30
1224191442872828004,theofficialprotector2,None,27989
1140492890733281322,thoshydo,None,4212
1014962921597567076,joppe183,None,1660
1092136534855143495,phantomxv52,None,11489
698606819521855550,jerxvo,None,4248
1257835785298907258,goated_jja,None,10008
943172957348433940,cururumaths,None,12279
765340401916968971,no_metal18,None,133
1246756310620311597,eye_falcon12,None,96
1031605206485577748,redlightextremerhardcore,None,108
774867436020695060,noobdealer,None,921
1156367006262624367,littlebuttbob,None,8451
864901536144424992,hello34_48,None,12
1019775359559929928,majortactics,None,66
805944123500003329,plumsu,None,928
781217391069233172,flankorin,None,47
845344150290169857,theo25,None,539
1087802554613760001,alien_nigga,None,1562
749627487171903568,eggmcmuffin1198,None,55
1325542429041885335,comfygray,Black,6749
983041035145969664,kioofcl,None,686
907400418722738216,stothegreat,None,34
872751731388342272,wisemythictree,None,8043
1178666809428291644,_te_mu_,None,7791
261312727258103808,curtimongous,None,42
685286050683158538,london_night,None,1993
1232959852360499303,chato_11,None,116
757761563116568692,lelouch_76,None,488
736410393345523803,gleenone,None,997
1318690175479578746,y2eezo,Blue,14724
830485773618249769,churras_fumasa,None,1570
507319669078753290,andromeda5128,None,70
1290087696039149736,colosso_vermelho,None,11
761226716466642944,monke0695,None,152
1264398489014501446,elijahtheduckling,None,116
501144710124142614,flying.fry,None,1936
1207020901162553385,scoutmasha,None,4667
476761393677336596,dragonvenom360,None,90
966773596406026241,arianagasaki,None,74
1234298372278452325,manentii_16,None,1225
536291764328202260,synderz,None,24
1056803795880902736,anew4751,None,6
823221426693210144,haydiew,None,1729
849269911007002635,comrade_atomov,None,366
1007800019820216351,bloomingcloud,None,12
1086022992334684190,idkfigureitoutlater,None,974
1124206962238828587,loomfypoo,None,344
1075644410127188008,katze8222,None,4002
978758601604755467,mrpsgrains,None,4
1235683991793700945,wf74,Red,2119
1271703848440041515,shook.123,None,66
1092548570948849777,toast35_,None,1106
1104331814539104336,duolingo5748,None,3019
1134186759828275200,tashon701,None,26252
717249292024152105,zenknighte,None,84
561007351952310296,v00d00mag1c,None,1133
961414109805568120,danillo1_,None,214
1309656668484800512,18wheeltruckdriver,None,6
1151669820031500358,helvatia,None,24
800907554469052467,mr.franca,None,264
760840820642414592,ironshade12,None,397
972250248644788275,bordon3249,None,287
846688935824195613,ikkej_666,None,1032
723998492942532688,zulichet,None,1219
1221375222859698209,revali676,None,13
1328067249684222098,thewhiteelegion,None,1127
1279030452400816252,pol_480,None,568
1008841651705364491,serhumano9999,None,152
1286881919879086170,darlanyghot,None,4
832664716400787466,0.0.0101,None,4
904009888974405693,patootle_noodle,None,907
790810309983862855,stenmk3,None,123
1125791001064255489,kaaan__,None,520
1218118489496227863,krzhizhanovsky,None,24
1176983812459204781,majeedfr,None,624
1328618009643716660,manelo06.,None,1028
598570113662320692,nou897,None,17
1298348409383551012,theprimeeeeeeeeeeee,None,76
1030964110009053284,_langed_,None,210
1205634657568424047,iformula1,None,211
1124874389784113192,napoleonlover978,None,90
1329891304649396288,j_ak_ob_,None,98
1329885274318049282,legionwhitethe,None,104
970838697421447178,amerebeargotrevived,Yellow,11190
1177284456600576126,vlad4272975209,None,903
1176727802209374279,qwunty,None,2
748280880463609916,mrtukito,None,616
1313017306821038094,thecrimeanwar,None,444
1204675880736129074,theone_whoasked.,None,38
922164447349456996,vkdo_1,None,99
833868942140637194,kolinski_1982,None,10
853267919017607198,sheqen,None,8
1232296907645124668,the_ashen_crusader,None,3546
853246015486558258,kaxio_,None,10
985335556659609620,parragoo,None,126
427221490648219658,inferno1023,None,2
1237071374971961435,iamthecreatureoftheknight,None,870
809023547930181653,forcetimer71,None,473
1222417578853404785,otach.32,None,127
936949071824953384,doudperfectcom,None,142
1320738917368201217,rocky076108,None,5
1269308875601871051,jamsonprince,None,2909
1103336350633169026,bettercallt34,None,12
1157122207705731093,vidamaldita22,None,2161
1068614018467635240,hyze_times.,None,135
1056318347068850256,sharkghosts2773,None,890
1257212602715734036,finchplayzyt,None,231
422170553953026048,alwaystoasty,None,31
1151985175757062156,george.sc,None,302
1262679267511242823,softclare,None,160
822228038691455007,jordanbelfort7802,None,30
844623153312301059,flowee1,None,46
978065611248767027,rae_the_pinetree,None,30
346835561031401473,dawkins_,None,20
717506671399796748,max_20974,None,285
1322523766395502592,homeless_lord1,None,254
1236442905896554516,chess22b,None,671
967273853367771168,mooseno.2,None,20
703059870865293332,thecircleofknife49,None,48
1094388712059703396,lil_ortego,None,687
1074512414390894683,ilikemen_yummy,None,4
1236684081216098404,fidthing,None,2
1254443229710127189,holtify,None,8
754745011169394689,__tar__,None,96
336602857769926666,strawberrynomer,None,988
709893787220181024,lefty9512,"Green, Yellow",11909
665564322445000714,minskybrisky,None,2210
1039591783983759490,jj_yhr,None,7
984954494414635009,apelhaum,None,1040
1016740783027671151,imperial_federation_of_r,None,2
906307373537308703,rediscool._,None,299
718252252896428092,zazaskeo,None,1493
1273758735738732626,quackenxnator,None,241
1165297076079435886,hectar1000kills,None,68
890860025084518420,giga_.4569,None,92
1012191198456336385,lordofthebirds,None,69
738540066573516832,justzim,None,240
1333163142683033764,twlf1nlandtwlwarrior1,None,542
589598621436215296,.fenithent_,None,2419
1180257878993547365,scrump0584,None,604
555069493735325700,itsme4353,None,34
1138701846932889661,thecryptt,None,19
1334221269901639751,lord_noraus,None,50
857967008495042560,arthurgowens,None,66
672573312697892886,anchluss.v,None,9
1126766444693168138,jum_anji3,None,1158
754372506042761247,avare0000,None,77
952656369511706714,raccio.,None,105
1234101244172435529,rafig1092,None,80
1312802566605766671,axel063661,None,204
1320097617501491252,fahur2.0,None,64
838567846933954600,sulista_com_calor,None,100
745539717902368769,dedospuntos.,None,695
1277890989327122433,mrlaosaicheetahman.,None,4
1305914089104478285,fassi20_70658,None,10
395274858382098463,kubys_,None,479
1127131403830698025,helenasmith2004,None,5
1291633457105207359,siyogamer23,None,7
1111996375245262848,gentlecat3696,None,6
781938611355516969,peterhit,None,18
943974262090399796,mrhappy0602,None,22
1331500663066066977,ghost_1234697,"Green, Yellow, Blue, Orange, Red",533
870693088203517983,bue7332,None,45
1305114496049614899,pureriz,None,204
442130209442103296,diego1071,None,10
985883054130233394,rjapacc,None,32
786237521783685140,yang_kemin,None,2214
492992682616946688,plazan_,None,1700
1335702183399657474,twlazovtwl,None,723
1140377405597425785,hans_solo44,None,100
1188131566828912721,krabstoic,None,704
1172186864229306378,1thinking_,None,2365
1336169020222869616,legofred_,None,12
823255675643363369,pilzpasta,None,2
656929866133929986,avela08,None,49
1295486848466026557,legendaromek,None,26
1336741800668561471,3rdassualttwl,None,156
1326649608306167809,superninja1111,None,59
876956348737261638,hyperlinkbloocked,None,48
1267045576319696977,octabloxyt.,None,23
826530408606335017,delescendant,None,56
691449202710020188,michilis,None,82
1200812834691489976,careca_da_shoppe01,None,135
1337626014574055464,skibsib5s,None,94
856240571572420638,toolazy2587,None,193
1238529799849508874,xb3n0,None,427
1336034658403483688,frenchmaze,None,539
725763364801740861,2010hondacivic_,None,164
841093919461605418,brendon3045,None,434
928224943253110815,frogger6221,Green,3038
712296480756465744,nerfpro2007,None,340
1247402581207154802,stiven_lara,None,314
1338332290488471634,finskatwl,None,576
1338346550010576947,twlconsultant,None,192
758768167308230726,blueknight9842,None,118
769349184393576448,rhsfan112,None,367
1194880189117759488,hackyslash666,None,6
1117543663355035718,smileymaan,Blue,9411
1339135077074075709,twlcorrespondant,None,97
1230256969848459354,eternity1x9,None,18
1331776697200021566,soldeyes01,None,160
829286990515929110,quinton_hr,None,13
1036667402655641630,da_real_smoking_peashooter,None,264
1201623958785630290,speciality811,None,927
1100185918930952282,pank4s,None,12
1144774850540478587,w4lk3r_12,None,75
1235304620234903715,dhesl3n,None,106
1106856384923967498,juanster.1,None,1448
1185848861483348028,victormentecapto,None,343
917834451608830003,xort1646,None,431
677625965161218070,dogthatbreathes8927,None,23
763479781035212801,mythicalwinters,None,58
1099717554068537435,raz_431,None,2
1228736299041689681,an_marcosbr,None,2
1046173730692411565,larproyale,None,3158
1236470464302547054,goji_egoista,None,94
1266065880165650502,falloun15,None,24
1212152433346879540,lovelybastard7227,None,2
441331565897711636,nicolasqbc,None,88
1012893007864938506,dontblinkorstare_,None,242
1314683130879279181,dr60nkeyt0es,None,2
790740353972043817,flockspud10.6,None,11
1117550941634306230,akirakk.,None,6
1340420779044765706,lordoffinlandiatwl,None,336
1235593491917045773,darkiishemperor,None,512
1001919377408532481,broh4248,None,54
813108137099526174,_jorgear06,None,594
411412361526902786,supastishn,None,414
504317350464585728,memoge,None,2
815626876794044458,quackityquackquack123_sui,None,2
1170055145288118322,hitori_the_engineer,None,124
1313242481130864770,prekakaldrma,None,48
1322546959629946982,ligggs_16870,None,515
903427514607742976,conquilus,Green,8917
1056481649749135430,chunkers_.,None,19
1153589540657827851,burovin,None,4
1064195584262672515,patrickpoetry,None,22
501913091735289877,re.used,None,240
1341602416847491143,elpapu7770277,None,2
894297743584030761,_.maaze,"Green, Red",930
432025763785736213,raconh,None,11
661357191697006612,toxictyler12,None,69
618814978975072268,venan.,None,879
1277037237292367997,riversteady,None,802
1114605904193654864,preexpah,None,979
1307125188390949037,aqua_azure12,None,175
811880947933904916,lokthegreat_280408,None,24
689653443517743163,nachotalarga.a,None,5733
1203409341944692746,v0rtexbl00m,None,129
1322621344260558923,who_is_notdave,None,22
632492892753100800,gamer58,None,255
1325915150376636430,shokoaaa,None,7197
1133566693201936434,newcrimison,None,134
1209192414946922540,leviathan0213,None,2
959809374442885142,alpha0427,None,16
928235936800714783,kizuatooo,None,408
376852065311391745,tacolens,None,2
908484341519237150,yourlocalmaus,None,10
1343728310617772113,randomm_dudd,Yellow,8851
716673639659077764,marble_lkk,None,4
1096439594280566915,.raftking.,None,2650
809491274662674484,justmarshall,None,44
922244985393397760,sergenfederatia.ro,None,6
1325797540469280919,mrpripyat847,None,549
828127497777971211,.neozar,None,631
741795298770157681,zukizzzd,None,6141
825909675131142174,itzjustme12,None,66
1175575127736459408,juliosupergordo2023,None,200
1343298545477877780,bananaboy0344,None,188
579616030863785995,gabbiwcraft25,None,2
678992527864496129,avietnamman,None,4
1141913432791199855,thecelestial_moon,None,6
1065319016555622451,elsarvmilanesa,None,228
644723490552938497,themichelinman.,None,108
1234019844513464321,michaeldwade,None,21
1261942544619798602,jaden6242.,"Blue, KB False",12396
1074309708862738494,gustavonhxc,None,20
1153389274096484444,ellenirel.,None,125
943645931893588008,purr___.,None,26
692890102942138370,captainchoco.,None,11
1320530794912940124,mezirir,None,3
390988792301092864,vulpis_rex,None,1225
1266874585899335760,felipe_nugget45,None,38
1253898697088041057,falconxudoo,None,641
611624680473755659,itskonig,None,212
761945175047536651,guillerevolucionario,None,486
1072301273518456906,negro853,None,290
1287104723744460873,buhmiru,None,8
414877432722620417,nishuke,None,14
765212438470721536,mixlol255,None,20
852693097695019038,springle61879,None,46
740603524018208808,_lordpsycho,None,22
1339386499958968360,poneis0743,None,6
1143565490887868416,manuelinprogamer,None,8
1293812489405988946,dr__d11,None,36
1175285016557797399,dazefus,None,907
718714633309126668,pzwr,None,941
652081727761809417,jaxent,None,8
1206175979140292680,meowtsudon,None,252
1195163215982776410,deolema,None,6
1103949132097409024,duckboi111,None,276
1150957448513998858,whenisthewhereanswhy,None,2
1176279945236971600,deletedaccount1893._,None,78
462006384574201866,mr_nugget1010,None,2
1007157046619152415,heresmine,None,262
1239330085958455442,hms_javelin_,None,4
869954078598393856,noobgamer109909,None,10
1255944079754133575,erenzy0854,None,2
701839701069398107,pivot_world,None,20
1175888454702354446,rad213,None,44
1237625218776829962,pizza_09412,None,357
698929937247371265,choruku,None,7
1343250064230846497,purpleaipom,None,41686
1346442052614750260,emily_the_medic,None,73
1206057706314534933,mystix_78,None,39
1251999420279689359,blueisagi_7,None,6
304356396953108501,bimboolzoo,None,178
1350173180836315337,mandyju14,None,79
1296570779391099011,legingerman,None,52
1347953033149026334,comradebreznev,None,6
1239001869179686933,davthrax_,None,65
1265607492092821557,5_sugus_5,None,71
1021491860407058462,secretly_bongz,None,3712
940296775011557396,_devblox_,None,10
1350867054919421972,london__night,None,9
186754566870532096,glebary,None,86
1340869723977678911,goodytwoshoes2,None,16
1118244857597661275,artyfier_the_one_and_only,None,608
1319369371499368460,tashon956,None,943
1256990678219493479,darl0900,None,34
816664204265652265,kaito_xde,None,79
614831519550144515,v1bq,None,29
891518709158539364,aseer09.,None,153
1222593945071124661,oops656,None,18
959819515204608052,hab1b1_adam,None,96
1243582620487520270,starion1920,None,21
796381162469064714,traggon,None,131
1198662116333326377,solis.shu,None,393
1134938452144689252,wreckedmy,None,671
1350936739740389456,twl_pedophiles_bad,None,175
756235751091339494,xcalantha,None,92
1170922073326092379,4steven4,None,112
1043485833275113483,alph3us13,None,62
700530773421326336,stereotypicalblue,Yellow,2867
1180729153859883080,lucoto_,None,4
696191661084115035,philipforwhat,None,20
1281584987828654143,pang_jia_chen,None,4
841760683938414622,davout4,None,26
1258102503501729871,thekillercatreborn3,None,67
1259902862859829279,ludo4real,None,8
913572417555824660,astrocn,None,14
326098752576421898,aenguscupid,None,2
1004260219058131024,just_a_random_idiot,None,4
885894357805330494,pasamees,None,35
1349846949138010112,.enadog,None,122
932306959246446672,alpaka22,None,347
768770356491845643,xdmarmor,None,58
1266802905810337934,barombence23_aipom,None,37
1147799068458889297,autisticpigeon1_78425,None,13
342271870504009739,salablealloy525,None,115
664182463924404243,deadf1ame,None,152
1095446176821686434,gladiardinista,None,11
290187887365062657,garvi3lloken,None,58
482624498927927312,trophyhunter03,None,2
1203728592761135105,whyrumbling_93271,None,655
1172231219560316958,thenotoriouslarryt,None,396
1354339249499017357,uncondemn,None,176
1145337098015084555,123sigma___,None,14
1163934613727629362,adorable_wolf_72516,None,12
1355451408786391063,hiyeshellobro_0,Yellow,11005
776513492240695309,yubby360,None,7
1346515957774024714,shinnkkj,None,129
592762214922977302,xxbonxx,None,48
966369506161197066,bucktardwater,None,238
290094488020451329,rinnaide,None,31
1152853994151104524,helloguys2010,None,1
1326775318320644148,sctzna_1,None,414
1356013027853598860,theofficial3428,None,8994
871277498128814101,mr.brodley_123,None,1
1299102409158823967,indra900,Blue,7028
1242592587014078599,neonveli1307,None,8
1325766648359292938,the_real_mikvandon100,None,14
1338326134143586337,thesigmawhitelegionarie_58686,None,479
1332051499194257429,davi060418,None,291
1183094864590671893,f_abricc,None,5
1060011631788179467,kiwiberry9,None,1
1185104579692605455,co_co_rico,None,4
617920845251084298,christiankaarl,None,9
1195118291279151235,jayz0517,None,22
758557476563320834,cqld_,Red,1911
1100488725768716298,fransjansson,None,220
1356687648919388243,ruhrpenchantdiorama,None,15074
1348550911051694124,emperor_napoleon1234,None,12
830495935724257330,danielobjectgpu,None,2
1221152734447800370,swillpo_,None,9
310940169878503426,colt6.9,None,16
572114952169455626,amsmartrobber25,None,224
705209485333102683,fangthegamer641,None,38
1358110697153761372,newgestalt87,None,6
583397169588076556,solaroid.,None,2
998501142399033355,fe_tq,Yellow,572
1189257079035265044,habibiarz,None,7
1104532626355789875,_tactical_burrito_,None,4
1307566374608044056,univstaru,None,5
383573530387677184,vodka6329,None,6
1350388248068882475,rip_thebabbys123_66713,None,1
1195770424022290574,your_friendly_supreme_leader,None,14
996877590944043028,treetea102,None,26
1304412269177733151,donkeylikemeold,None,15
933023182930186290,stauber10,None,151
